incident energy,cross_section
130.4287,13.85846
130.4434,15.42073
130.458,17.26232
130.4654,18.32434
130.4727,19.4676
130.48,20.71466
130.4873,22.07502
130.4947,23.58009
130.502,25.20019
130.5093,26.96643
130.5166,28.89114
130.524,31.01737
130.5313,33.30165
130.5386,35.78605
130.5459,38.48583
130.5533,41.45875
130.5606,44.64125
130.5752,51.81986
130.5899,60.26555
130.6045,70.01365
130.6206,82.5171
130.6367,97.05478
130.6423,102.6236
130.6527,113.7054
130.6631,125.7861
130.6811,149.1666
130.6991,175.8021
130.7133,199.1579
130.7275,224.5695
130.7417,251.9771
130.7558,281.0563
130.7766,326.9832
130.7974,375.8284
130.8389,477.6735
130.8711,554.8887
130.9032,623.7195
130.924,661.0943
130.9447,690.8748
130.9661,712.5853
130.9875,724.1021
131,725.8828
131.0032,725.7444
131.0129,723.8465
131.0226,719.7423
131.0419,705.1892
131.0636,679.2914
131.0853,644.4611
131.122,569.687
131.1587,482.6837
131.1955,392.2253
131.2322,306.5652
131.2506,267.1577
131.2689,230.9547
131.2873,197.8461
131.3056,168.3294
131.3232,143.1615
131.3407,121.1834
131.3582,102.0912
131.3757,85.68157
131.3933,71.64468
131.4108,59.88395
131.4283,50.05305
131.4458,41.89776
131.4634,35.14259
131.4809,29.64152
131.4984,25.15283
131.5159,21.50083
131.5334,18.53361
131.5509,16.12203
